id,student_id,wage,teacher_id,grade,subject
1,11,4,1,4,Mathematics
2,13,5,7,2,English
3,11,2,1,3,Science
4,11,4,4,5,History
5,12,1,10,4,Physics
6,15,5,5,5,Mathematics
7,16,4,1,4,Science
8,12,2,7,3,English
9,13,5,10,2,Mathematics
10,15,2,8,5,History
11,11,1,3,1,Physics
12,14,3,9,3,Science
13,12,5,5,3,English
14,13,2,1,2,History
15,16,4,2,5,Mathematics
16,11,1,7,1,Science
17,14,5,10,5,English
18,15,3,3,3,History
19,12,4,9,2,Mathematics
20,13,2,5,2,Physics
21,16,1,2,4,Science
22,11,5,5,5,English
23,14,3,1,1,History
24,15,4,7,4,Mathematics
25,12,2,10,2,Physics
26,13,1,3,1,Science
27,16,5,9,5,English
28,11,4,2,4,History
29,14,1,5,2,Mathematics
30,15,5,10,5,Physics
31,12,4,1,4,Science
32,13,2,7,3,History
33,16,3,5,5,Mathematics
34,11,5,10,5,Physics
35,14,3,3,3,Science
36,15,1,1,1,History
37,12,4,5,2,Mathematics
38,13,5,9,4,Physics
39,16,2,7,3,Science
40,11,1,5,1,English
41,14,5,2,5,History
42,15,2,10,2,Mathematics
43,12,3,1,3,Physics
44,13,4,3,3,Science
45,16,5,5,5,English
46,11,2,9,2,History
47,14,1,7,1,Mathematics
48,15,3,5,3,Physics
49,12,4,10,4,Science
50,11,5,1,1,Science
51,15,5,1,1,Science
51,13,5,1,1,Science
53,11,2,1,1,Science
54,13,2,1,1,Science
54,15,2,1,1,Science
56,11,5,1,5,Science
57,13,5,1,5,Science
57,15,5,1,5,Science
58,11,5,2,1,Mathematics
59,11,5,2,5,History
